2025-04-13 10:48:20.626 [main] INFO  com.lanqiao.test.gen.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=102, id=-3993128621597143898) p2=GeneratorBuilderTest.Person(age=685, id=-3353080407828961009)
2025-04-13 10:50:05.225 [main] INFO  com.lanqiao.test.gen.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=864, id=8682594605852471107, clothes=null) p2=GeneratorBuilderTest.Person(age=563, id=-6111183540970738971, clothes=null)
2025-04-13 10:57:00.633 [main] INFO  com.lanqiao.test.gen.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=861, id=-4376707691179192418, clothes=GeneratorBuilderTest.Clothes(type=3, price=0.9000648941827806)) p2=GeneratorBuilderTest.Person(age=313, id=49999694976396435, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.9846195429243365))
2025-04-13 14:42:15.008 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=380, id=8593415339767811290, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.09557093594293431)) p2=GeneratorBuilderTest.Person(age=550, id=-5936468231947987645, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.8706488092086451))
2025-04-13 15:21:40.824 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=758, id=-4316532303384771770, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.26129863648977303)) p2=GeneratorBuilderTest.Person(age=639, id=-186256489013219056, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.20275130721720092))
2025-04-13 15:28:30.538 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=672, id=-2156752755928727185, clothes=GeneratorBuilderTest.Clothes(type=2, price=0.31670042060317904)) p2=GeneratorBuilderTest.Person(age=170, id=8642351007812795429, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.1306701655934518))
2025-04-13 15:49:41.240 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=59, id=-8957100366051485438, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.5088718542792107)) p2=GeneratorBuilderTest.Person(age=735, id=-6093432937951916153, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.35447531379141484))
2025-04-13 15:54:37.615 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=948, id=4741943881656508863, clothes=GeneratorBuilderTest.Clothes(type=2, price=0.11616089317975475)) p2=GeneratorBuilderTest.Person(age=451, id=8324581336767782936, clothes=GeneratorBuilderTest.Clothes(type=2, price=0.488106585280746))
2025-04-13 16:04:37.314 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=63, id=-905479061198551873, clothes=GeneratorBuilderTest.Clothes(type=2, price=0.7422708278467443)) p2=GeneratorBuilderTest.Person(age=150, id=4384626956479587357, clothes=GeneratorBuilderTest.Clothes(type=2, price=0.7408688763301791))
2025-04-13 16:07:46.864 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=813, id=5185347683852042504, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.6373524250204508)) p2=GeneratorBuilderTest.Person(age=137, id=-3458841601131132302, clothes=GeneratorBuilderTest.Clothes(type=3, price=0.12362428679947246))
2025-04-13 16:33:53.850 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=311, id=-5311746202418717829, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.9894068176570932)) p2=GeneratorBuilderTest.Person(age=667, id=-1532900733965209842, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.34653237173636264))
2025-04-13 17:34:22.010 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=510, id=1942165912547465344, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.8260346293756543)) p2=GeneratorBuilderTest.Person(age=718, id=6516586410888899091, clothes=GeneratorBuilderTest.Clothes(type=3, price=0.4271472531638816))
2025-04-13 17:38:21.623 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=759, id=3018801442709321789, clothes=GeneratorBuilderTest.Clothes(type=3, price=0.727163352742501)) p2=GeneratorBuilderTest.Person(age=17, id=-6292293624511041009, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.9363755950422389))
2025-04-13 17:39:10.370 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=546, id=-6137737181391489668, clothes=GeneratorBuilderTest.Clothes(type=3, price=0.5816353448363782)) p2=GeneratorBuilderTest.Person(age=234, id=7253730358504768558, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.9982502091892287))
2025-04-13 17:44:04.260 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=829, id=4354873470835314479, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.13807620392517417)) p2=GeneratorBuilderTest.Person(age=758, id=589061874590917104, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.2869839617377431))
2025-04-13 17:52:07.252 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=328, id=-8635563232070213415, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.5575907028519864)) p2=GeneratorBuilderTest.Person(age=642, id=-1732888077152058192, clothes=GeneratorBuilderTest.Clothes(type=2, price=0.9177006175991622))
2025-04-13 17:53:24.411 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=385, id=7965482792367386420, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.5603207360300825)) p2=GeneratorBuilderTest.Person(age=690, id=-2536185932434958867, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.13713868384065442))
2025-04-13 17:57:26.900 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=47, id=5215246404556812552, clothes=GeneratorBuilderTest.Clothes(type=2, price=0.4523262682384329)) p2=GeneratorBuilderTest.Person(age=499, id=-3808006102894836079, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.21973470263552797))
